compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
916,2770,770,R,R-POL,R-THALAMUS
917,2771,771,R,R-POR,R-CORTEX_TEMPORAL_ASSOC
918,2772,772,R,R-POST,R-CORTEX_TEMPORAL_ASSOC
919,2776,776,R,R-PP,R-MIDBRAIN
920,2778,778,R,R-PPN,R-PONS
921,2779,779,R,R-PPT,R-PONS
922,2780,780,R,R-PPY,R-HYPOTHALAMUS
923,2783,783,R,R-PR,R-CORTEX_TEMPORAL_ASSOC
924,2784,784,R,R-PRC,R-CORTEX_TEMPORAL_ASSOC
925,2790,790,R,R-PRM,R-CEREBELLUM
926,2794,794,R,R-PRNc,R-PONS
927,2795,795,R,R-PRNr,R-PONS
928,2797,797,R,R-PRP,R-MIDBRAIN
929,2799,799,R,R-PS,R-HYPOTHALAMUS
930,2805,805,R,R-PSTN,R-HYPOTHALAMUS
931,2806,806,R,R-PSV,R-PONS
932,2807,807,R,R-PT,R-THALAMUS
933,2816,816,R,R-PVa,R-HYPOTHALAMUS
934,2819,819,R,R-PVH,R-THALAMUS
935,2822,822,R,R-PVHd,R-THALAMUS
936,2835,835,R,R-PVi,R-HYPOTHALAMUS
937,2836,836,R,R-PVp,R-HYPOTHALAMUS
938,2837,837,R,R-PVpo,R-HYPOTHALAMUS
939,2839,839,R,R-PVT,R-THALAMUS
940,2841,841,R,R-py,R-MEDULLA
941,2842,842,R,R-pyd,R-MEDULLA
942,2849,849,R,R-RCH,R-MIDBRAIN
943,2851,851,R,R-RE,R-THALAMUS
944,2853,853,R,R-RH,R-THALAMUS
945,2856,856,R,R-RL,R-MIDBRAIN
946,2858,858,R,R-RN,R-MIDBRAIN
947,2860,860,R,R-root,R-CRANIAL_NERVES
948,2862,862,R,R-RPO,R-MIDBRAIN
949,2863,863,R,R-RR,R-MIDBRAIN
950,2867,867,R,R-RSPagl1,R-CORTEX_RETROSPLENIAL
951,2868,868,R,R-RSPagl2-3,R-CORTEX_RETROSPLENIAL
952,2869,869,R,R-RSPagl5,R-CORTEX_RETROSPLENIAL
953,2870,870,R,R-RSPagl6a,R-CORTEX_RETROSPLENIAL
954,2873,873,R,R-RSPd1,R-CORTEX_RETROSPLENIAL
955,2874,874,R,R-RSPd2-3,R-CORTEX_RETROSPLENIAL
956,2876,876,R,R-RSPd5,R-CORTEX_RETROSPLENIAL
957,2877,877,R,R-RSPd6a,R-CORTEX_RETROSPLENIAL
958,2878,878,R,R-RSPd6b,R-CORTEX_RETROSPLENIAL
959,2880,880,R,R-RSPv1,R-CORTEX_RETROSPLENIAL
960,2882,882,R,R-RSPv2-3,R-CORTEX_RETROSPLENIAL
961,2883,883,R,R-RSPv5,R-CORTEX_RETROSPLENIAL
962,2884,884,R,R-RSPv6a,R-CORTEX_RETROSPLENIAL
963,2885,885,R,R-RSPv6b,R-CORTEX_RETROSPLENIAL
964,2889,889,R,R-RT,R-THALAMUS
965,2890,890,R,R-rust,R-WHITE_MATTER
966,2891,891,R,R-SAG,R-MIDBRAIN
967,2893,893,R,R-SBPV,R-HYPOTHALAMUS
968,2894,894,R,R-SCdg,R-MIDBRAIN
969,2895,895,R,R-SCdw,R-MIDBRAIN
970,2896,896,R,R-SCH,R-HYPOTHALAMUS
971,2897,897,R,R-SCig,R-MIDBRAIN
972,2900,900,R,R-SCig-c,R-MIDBRAIN
973,2903,903,R,R-SCop,R-MIDBRAIN
974,2904,904,R,R-scp,R-MIDBRAIN
975,2907,907,R,R-SCsg,R-MIDBRAIN
976,2909,909,R,R-sctd,R-WHITE_MATTER
977,2910,910,R,R-sctv,R-WHITE_MATTER
978,2911,911,R,R-SCzo,R-MIDBRAIN
979,2913,913,R,R-SEZ,R-VENTRICLES_CSF
980,2914,914,R,R-SF,R-HYPOTHALAMUS
981,2916,916,R,R-SG,R-MIDBRAIN
982,2917,917,R,R-SGN,R-MIDBRAIN
983,2920,920,R,R-SI,R-BASAL_FOREBRAIN
984,2922,922,R,R-SIM,R-CEREBELLUM
985,2926,926,R,R-SLC,R-MIDBRAIN
986,2927,927,R,R-SLD,R-PONS
987,2930,930,R,R-SMT,R-MIDBRAIN
988,2931,931,R,R-SNc,R-MIDBRAIN
989,2934,934,R,R-SNr,R-MIDBRAIN
990,2935,935,R,R-SO,R-MEDULLA
991,2937,937,R,R-SOCl,R-PONS
992,2938,938,R,R-SOCm,R-PONS
993,2940,940,R,R-SPA,R-PONS
994,2942,942,R,R-SPFm,R-THALAMUS
995,2943,943,R,R-SPFp,R-THALAMUS
996,2944,944,R,R-SPIV,R-MEDULLA
997,2945,945,R,R-sptV,R-WHITE_MATTER
998,2947,947,R,R-SPVI,R-MEDULLA
999,2948,948,R,R-SPVO,R-MEDULLA
1000,2971,971,R,R-SSp-bfd1,R-CORTEX_SOMATOSENSORY
